model,dataset,compression,avg_epoch_time,train_loss,test_accuracy,test_time,compression_ratio
small-CNN,fashion,none,11.3700,0.1528,0.9141,0.7934,8.0000
small-CNN,fashion,jpeg_1,6.7900,0.2855,0.8491,0.5577,3.7673
small-CNN,fashion,jpeg_10,6.8860,0.2056,0.8944,0.5532,4.1618
small-CNN,fashion,jpeg_50,7.0396,0.1715,0.8987,0.5354,5.3679
small-CNN,fashion,png,6.9007,0.1630,0.9128,0.5505,5.2234
small-CNN,fashion,webp_1,6.9419,0.1931,0.8955,0.5611,1.3099
small-CNN,fashion,webp_5,6.8184,0.1848,0.8964,0.5608,1.5105
small-CNN,fashion,webp_20,6.4702,0.1723,0.9039,0.5540,1.8789
